,hotel_name,rating,time_minutes,food_type,location,offer_above,offer_percentage
271,"DIMSUM WU (Chinese, Momo, Shushi & more) ",4.2,51,"Pan-Asian, Indonesian, Thai, Chinese, Desserts",Borivali,449,0
272,Kolkata Heshel,4.5,64,Bengali,Malad West,800,10
273,Social,4.3,58,"North Indian, Chinese, Fast Food, Biryani, Pizzas, Salads, Kebabs, Juices, Desserts, Beverages",Goregaon East,120,60
274,Ohhdaily - Healthy & Homely Tiffins,4.3,42,"Thalis, Indian, Home Food, Chinese",Malad West,399,0
275,Harvest Salad Co,4.3,44,"Salads, Healthy Food, Snacks",Road Ramachandra Lbe,80,40
276,Maiz Mexican Kitchen,4.4,44,"Mexican, Indian, Salads",Road Ramachandra Lbe,80,40
277,Veg Sutra,4.2,48,"North Indian, Chinese",Goregaon,399,0
278,Balaji Snacks,3.3,39,"Snacks, Chaat, South Indian",Malad East,0,0
279,Shree Krishna,4.3,45,"Indian, Chinese, North Indian, Tandoor, Seafood, Biryani",Kandivali West,999,0
280,Speak Burgers by Vicky Ratnani,4.3,47,"Burgers, American, Beverages",Malad Kan West,449,0
281,Spicy Bowl,3.5,65,"Chinese, Biryani, North Indian, Tandoor, Beverages",Goregaon,0,0
282,Fire Bowl,4.3,55,"Chinese, Italian, Mexican, Thai",Malad West,0,0
283,Falafel's,4.3,42,"Lebanese, Mediterranean, Arabian, Middle Eastern, Rolls & Wraps, Jain",Goregaon East,449,0
284,The Pancake Story,4.4,55,"Desserts, Beverages",Malad West,599,0
285,Baithack Taste of Kulhad,3.8,46,"Beverages, Fast Food, Snacks",Borivali,0,0
286,Curry Culture,4.4,54,"Biryani, North Indian, Kebabs, Malwani, Chinese, Seafood, Asian, Thai, Mughlai, Indian, Desserts, Tandoor",Malad West,0,0
288,The Bar Stock Exchange,4.3,57,"North Indian, Biryani, Chinese, Asian, Kebabs, Italian",Malad West,0,0
289,Punjabi Grill,4.1,42,"Punjabi, Combo, Tandoor, Snacks, Chinese, Biryani",Kandivali East,700,15
290,Bandra Cakery by Bunty Mahajan,4.4,50,"Bakery, Desserts",Kandivali West,75,30
291,Krishna Lunch Home,4.2,44,"North Indian, Indian, Tandoor, Seafood",Borivali,0,0
292,Fried Nation,4.4,49,"Fast Food, American",Malad West,0,0
294,Meraki,4.2,49,Chinese,Malad West,449,0
295,Dale's Eden Cake Shop,4.4,38,"Desserts, Bakery, Sweets",Malad West,449,0
296,Banana Leaf,4.4,39,"South Indian, Snacks, Andhra",Borivali West,599,0
297,"House of Biryan- Biryani, Kepsa and More",4.4,40,"Biryani, Kebabs, Rolls",Malad West,599,0
298,Brijwasi Sweets Original Since 1946,4.4,50,"Sweets, Snacks, Chaat, Beverages, Indian",Malad Kan West,800,15
299,Deliciae by Bunty Mahajan,4.6,48,Desserts,Kandivali West,1199,0
300,Sahara Restaurant,3.8,43,"North Indian, Chinese, Tandoor, Biryani",Malad East,449,0
